,model,model_type,slope,intercept,r_value,p_value,std_err,model_avg,human_avg,eval_metric,r^2
0,Qwen2.5-0.5B-Instruct,LLM,1.1345781703810391,14.444884301898334,0.3018732973994716,0.0016618236681917376,0.3513537066534103,55.74573765877842,36.40194605807506,score,0.09112748768282983
1,gemma-3-12b-it,LLM,1.120952534114073,30.64858910252402,0.3771048016708272,6.758056738315e-05,0.2699600369948413,71.45344278300705,36.40194605807506,score,0.14220803144319394
2,llava-v1.6-mistral-7b-hf,LLM,1.9672546291693362,0.10882047586481747,0.6645311201337243,8.052351567793375e-15,0.2169205322034644,71.72071736938545,36.40194605807506,score,0.4416016096261823
3,TinyLLaVA-Phi-2-SigLIP-3.1B,LLM,1.9672546291693362,0.10882047586481747,0.6645311201337243,8.052351567793375e-15,0.2169205322034644,71.72071736938545,36.40194605807506,score,0.4416016096261823
4,llava-1.5-7b-hf,LLM,1.9672546291693362,0.10882047586481747,0.6645311201337243,8.052351567793375e-15,0.2169205322034644,71.72071736938545,36.40194605807506,score,0.4416016096261823
5,llava-1.5-13b-hf,LLM,1.9672546291693362,0.10882047586481747,0.6645311201337243,8.052351567793375e-15,0.2169205322034644,71.72071736938545,36.40194605807506,score,0.4416016096261823
6,internlm2_5-7b-chat,LLM,0.08653309282165336,25.927697647663678,0.04738777904085894,0.6295407529018399,0.17885909435385666,29.077670624795907,36.40194605807506,score,0.0022456016024252697
7,instructblip-vicuna-7b,LLM,2.0771605874887635,-2.922640982675915,0.713269257243252,9.612761059672678e-18,0.20014734755251046,72.69004667704957,36.40194605807506,score,0.5087530333283403
8,GPT5,LLM,1.8101837837348296,9.570230512333836,0.6203166728302004,4.180135793462533e-30,0.1398146025524765,74.73242749770479,35.99755868485696,score,0.3847927745911299
9,Qwen2.5-7B-Instruct,LLM,1.5394580540133114,12.587495354746295,0.4658021529283887,4.862829774095737e-07,0.28677312125259985,68.62676439560806,36.40194605807506,score,0.21697164567272204
10,,LLM,1.8203457541138093,6.71279575340931,0.7228076132593215,2.1808599749822775e-18,0.17065677620304456,72.97692370170617,36.40194605807506,score,0.5224508457856369
11,gemini,LLM,0.48030141147282757,16.2522505928877,0.29926688370653143,5.444967999442291e-07,0.09354343431910515,33.541928838800445,35.99755868485696,score,0.08956066768341861
12,InternVL3-8B,LLM,1.656912434673727,14.709904733753213,0.6134325088248663,2.7341531641936768e-12,0.20917229714645794,75.02474180370004,36.40194605807506,score,0.3762994428831697
13,gemini2_5,LLM,1.8058313457690398,8.577620010173547,0.6009682945313045,6.731219776028435e-28,0.1467078314572941,73.58313985444879,35.99755868485696,score,0.3611628910318648
14,gemma-3-4b-it,LLM,1.2375269440868388,23.600373339449284,0.37931288771110144,6.074882090476034e-05,0.29601120852759055,68.64876240351286,36.40194605807506,score,0.14387826678373467
15,Qwen2.5-7B,LLM,-0.6285992195352372,47.27887565528421,-0.45272118604354156,0.26000137421942054,0.5054321305830629,24.68325514346357,35.94598881068768,score,0.20495647229267097
